id,pattern,sentence,blank_sentence,korean_sentence,correct_verb,option_b,option_c,option_d,sentence_structure,category,difficulty,feedback_correct,feedback_wrong
28,3,I can't stand waiting in long lines.,I can't ___ waiting in long lines.,나는 긴 줄에서 기다리는 것을 정말 못 참겠다.,stand,bear,handle,take,S(I) + V(can't stand) + O(waiting),Daily Routine,hard,Correct! can't stand + -ing = ~를 참을 수 없다.,정답은 'stand'. can't stand은 무언가를 참지 못할 때 씁니다.
29,3,They postponed the event due to heavy rain.,They ___ the event due to heavy rain.,폭우로 인해 행사가 연기되었다.,postponed,delayed,canceled,moved,S(They) + V(postponed) + O(the event),General,medium,Correct! postpone = 연기하다. cancel과 달리 나중에 진행됩니다.,"정답은 'postponed'. postpone = 미루다, cancel = 취소하다."
30,3,She suggested trying a different approach to the problem.,She ___ trying a different approach to the problem.,그녀는 그 문제에 다른 방법을 시도해 볼 것을 제안했다.,suggested,recommended,proposed,advised,S(She) + V(suggested) + O(trying),Work,hard,Correct! suggest + -ing = ~할 것을 제안하다. 동명사 목적어.,정답은 'suggested'. suggest는 동명사를 목적어로 씁니다.
31,4,Could you show me the way to the nearest subway station?,Could you ___ me the way to the nearest subway station?,가장 가까운 지하철역까지 가는 길을 알려주시겠어요?,show,tell,give,explain,S(you) + V(show) + IO(me) + DO(the way),Travel,easy,Correct! show + 사람 + 것 = ~에게 ~을 보여주다/알려주다.,정답은 'show'. show me the way = 길을 알려주다.
32,4,He sent her a long apology letter after the argument.,He ___ her a long apology letter after the argument.,그는 말다툼 후 그녀에게 긴 사과 편지를 보냈다.,sent,wrote,gave,made,S(He) + V(sent) + IO(her) + DO(a letter),Social,medium,Correct! send + 사람 + 사물 = ~에게 ~을 보내다. 4형식.,정답은 'sent'. send + IO + DO 구조입니다.
33,4,The teacher gave us a lot of homework over the weekend.,The teacher ___ us a lot of homework over the weekend.,선생님이 주말 동안 우리에게 많은 숙제를 내주셨다.,gave,assigned,set,handed,S(The teacher) + V(gave) + IO(us) + DO(homework),School,easy,Correct! give + 사람 + 사물 = ~에게 ~을 주다. 전형적 4형식.,정답은 'gave'. give는 4형식 대표 동사입니다.
34,4,Can you lend me your charger for a few minutes?,Can you ___ me your charger for a few minutes?,잠깐 충전기를 빌려줄 수 있어?,lend,give,hand,pass,S(you) + V(lend) + IO(me) + DO(your charger),Daily Routine,easy,Correct! lend + 사람 + 물건 = ~에게 ~을 빌려주다.,정답은 'lend'. lend는 돌려받을 것을 빌려줄 때 씁니다.
35,4,She told me a completely different story about that night.,She ___ me a completely different story about that night.,그녀는 나에게 그날 밤에 대해 완전히 다른 이야기를 했다.,told,said,spoke,mentioned,S(She) + V(told) + IO(me) + DO(a story),Communication,medium,Correct! tell + 사람 + 이야기 = 4형식. say는 간접목적어 불가.,정답은 'told'. tell은 4형식으로 쓰이지만 say는 안 됩니다.
36,4,He owed his friend a huge favor after that incident.,He ___ his friend a huge favor after that incident.,그는 그 사건 이후 친구에게 큰 신세를 졌다.,owed,gave,paid,promised,S(He) + V(owed) + IO(his friend) + DO(a favor),Social,hard,Correct! owe + 사람 + 사물 = ~에게 ~을 빚지고 있다.,정답은 'owed'. owe someone a favor = 신세지다.
37,4,My parents bought me a laptop for my birthday.,My parents ___ me a laptop for my birthday.,부모님이 생일 선물로 노트북을 사주셨다.,bought,got,gave,brought,S(My parents) + V(bought) + IO(me) + DO(a laptop),Shopping,easy,Correct! buy + 사람 + 물건 = ~에게 ~을 사주다. 4형식.,정답은 'bought'. buy + IO + DO 구조입니다.
38,4,She made her daughter a warm meal every evening.,She ___ her daughter a warm meal every evening.,그녀는 매일 저녁 딸에게 따뜻한 식사를 만들어줬다.,made,cooked,prepared,fixed,S(She) + V(made) + IO(her daughter) + DO(a meal),Daily Routine,medium,Correct! make + 사람 + 음식 = ~에게 ~을 만들어주다.,정답은 'made'. make + IO + DO로 4형식을 만듭니다.
39,4,"Can you pass me the salt, please?","Can you ___ me the salt, please?",소금 좀 건네줄래요?,pass,give,send,bring,S(you) + V(pass) + IO(me) + DO(the salt),Daily Routine,easy,Correct! pass + 사람 + 사물 = ~에게 ~을 건네주다.,정답은 'pass'. 식탁에서 물건 건네달라고 할 때 pass를 씁니다.
40,4,The company offered the candidate a higher salary.,The company ___ the candidate a higher salary.,그 회사는 지원자에게 더 높은 연봉을 제안했다.,offered,gave,paid,promised,S(The company) + V(offered) + IO(the candidate) + DO(a salary),Work,hard,Correct! offer + 사람 + 조건 = ~에게 ~을 제안하다.,정답은 'offered'. offer a salary = 급여를 제안하다.
41,5,We found the exam much harder than we had expected.,We ___ the exam much harder than we had expected.,우리는 시험이 예상했던 것보다 훨씬 어렵다고 느꼈다.,found,thought,felt,considered,S(We) + V(found) + O(the exam) + OC(harder),School,medium,Correct! find + O + 형용사 = ~이 ~하다는 것을 알다.,정답은 'found'. find + O + OC 구조의 5형식입니다.
42,5,She kept her room perfectly organized at all times.,She ___ her room perfectly organized at all times.,그녀는 항상 방을 완벽하게 정리된 상태로 유지했다.,kept,made,had,left,S(She) + V(kept) + O(her room) + OC(organized),Daily Routine,medium,Correct! keep + O + 형용사/분사 = ~을 ~한 상태로 유지하다.,정답은 'kept'. keep + O + OC 구조입니다.
43,5,The news made everyone in the office very anxious.,The news ___ everyone in the office very anxious.,그 소식은 사무실의 모든 사람을 매우 불안하게 만들었다.,made,left,kept,drove,S(The news) + V(made) + O(everyone) + OC(anxious),Emotions,medium,Correct! make + O + 형용사 = ~을 ~하게 만들다.,정답은 'made'. make + O + OC는 5형식의 대표 구조입니다.
44,5,I consider him one of the most reliable people I know.,I ___ him one of the most reliable people I know.,나는 그를 내가 아는 가장 믿을 만한 사람 중 하나로 여긴다.,consider,think,find,believe,S(I) + V(consider) + O(him) + OC(one of...),Social,hard,Correct! consider + O + 명사 = ~을 ~로 여기다.,정답은 'consider'. consider는 전치사 없이 5형식을 만듭니다.
45,5,She had her hair cut short before the summer.,She had her hair ___ short before the summer.,그녀는 여름 전에 머리를 짧게 잘랐다.,cut,trimmed,done,styled,S(She) + V(had) + O(her hair) + OC(cut),Daily Routine,hard,Correct! have + O + 과거분사 = ~을 ~하게 하다(사역).,정답은 'cut'. have + O + p.p. 구조의 사역 5형식입니다.
46,5,They elected him president of the student council.,They ___ him president of the student council.,그들은 그를 학생회 회장으로 선출했다.,elected,chose,named,picked,S(They) + V(elected) + O(him) + OC(president),School,hard,Correct! elect + O + 명사 = ~을 ~로 선출하다.,정답은 'elected'. elect는 전치사 없이 직책명을 보어로 씁니다.
47,5,The long journey left everyone completely exhausted.,The long journey ___ everyone completely exhausted.,긴 여정으로 인해 모두가 완전히 지쳐버렸다.,left,made,kept,got,S(The journey) + V(left) + O(everyone) + OC(exhausted),Travel,medium,Correct! leave + O + 형용사/분사 = ~을 ~한 상태로 두다.,정답은 'left'. leave + O + OC = ~가 ~한 상태가 되다.
48,5,I want you to double-check the report before submitting.,I  ___ you to double-check the report before submitting.,나는 네가 제출 전에 보고서를 다시 확인해 주길 바란다.,want,help,send,make,S(I) + V(want) + O(you) + OC(to double-check),Work,medium,Correct! want + O + to-V = ~가 ~하기를 원하다.,정답은 'want'. want + O + to-V 구조의 5형식입니다.
49,5,She named her cat Luna because of its bright eyes.,She ___ her cat Luna because of its bright eyes.,그녀는 고양이의 밝은 눈 때문에 루나라고 이름 지었다.,named,called,nicknamed,labeled,S(She) + V(named) + O(her cat) + OC(Luna),Daily Routine,easy,Correct! name + O + 명사 = ~에게 ~라는 이름을 붙이다.,정답은 'named'. name + O + OC는 이름을 붙이는 5형식입니다.
50,5,His words made me feel truly understood for the first time.,His words ___ me feel truly understood for the first time.,그의 말은 나를 처음으로 진정 이해받는 느낌이 들게 했다.,made,let,had,got,S(His words) + V(made) + O(me) + OC(feel),Emotions,hard,Correct! make + O + 동사원형 = ~가 ~하게 만들다. 사역동사.,정답은 'made'. make + O + 동사원형은 사역 5형식입니다.
